"","A̱os","$F/F_{RMS_{sept}}$","$BD/BD_{RMS_{sept}}$"
"1","1990/91","0.696","2.457"
"2","1991/92","1.283","1.647"
"3","1992/93","1.259","0.791"
"4","1993/94","1.913","0.44"
"5","1994/95","0.635","0.482"
"6","1995/96","1.155","0.579"
"7","1996/97","2.658","0.797"
"8","1997/98","0.458","0.429"
"9","1998/99","1.831","0.385"
"10","1999/00","2.573","0.242"
"11","2000/01","0.566","0.149"
"12","2001/02","2.263","0.307"
"13","2002/03","2.116","0.33"
"14","2003/04","3.687","0.269"
"15","2004/05","2.685","0.163"
"16","2005/06","2.096","0.208"
"17","2006/07","1.355","0.768"
"18","2007/08","1.286","0.683"
"19","2008/09","1.799","1.568"
"20","2009/10","1.685","1.105"
"21","2010/11","1.321","1.15"
"22","2011/12","1.662","1.423"
"23","2012/13","0.992","1.355"
"24","2013/14","0.881","1.075"
"25","2014/15","0.875","1.568"
"26","2015/16","0.707","1.279"
"27","2016/17","0.883","1.041"
"28","2017/18","0.746","1.132"
"29","2018/19","0.679","1.624"
"30","2019/20","1.021","1.056"
"31","2020/21","1.088","0.623"
