"","A̱os","$Y/BT_{sept}$","$C/N_{sept}$"
"1","1990/91","0.173","0.101"
"2","1991/92","0.263","0.179"
"3","1992/93","0.261","0.167"
"4","1993/94","0.395","0.23"
"5","1994/95","0.157","0.087"
"6","1995/96","0.237","0.147"
"7","1996/97","0.509","0.321"
"8","1997/98","0.099","0.069"
"9","1998/99","0.326","0.233"
"10","1999/00","0.435","0.292"
"11","2000/01","0.116","0.074"
"12","2001/02","0.44","0.262"
"13","2002/03","0.384","0.252"
"14","2003/04","0.5","0.389"
"15","2004/05","0.398","0.3"
"16","2005/06","0.391","0.235"
"17","2006/07","0.328","0.189"
"18","2007/08","0.237","0.155"
"19","2008/09","0.327","0.227"
"20","2009/10","0.339","0.213"
"21","2010/11","0.279","0.167"
"22","2011/12","0.315","0.203"
"23","2012/13","0.225","0.147"
"24","2013/14","0.164","0.116"
"25","2014/15","0.185","0.119"
"26","2015/16","0.156","0.104"
"27","2016/17","0.152","0.116"
"28","2017/18","0.132","0.101"
"29","2018/19","0.171","0.103"
"30","2019/20","0.21","0.146"
"31","2020/21","0.196","0.137"
"32","1990/91","0.173",NA
