"","A̱o","$BD_{sept}$","$BD_{marzo}$","$BD_{julio}$","$BT_{sept}$","$BT_{marzo}$","$BT_{julio}$","$R_{sept}$","$R_{marzo}$","$R_{julio}$","$F_{sept}$","$F_{marzo}$","$F_{julio}$"
"1","1990/91","2007000","2030000","2015480","2844200","2870400","2854570","170470","170120","170639","0.209","0.207","0.208"
"2","1991/92","1345500","1358500","1351070","1950300","1966700","1957010","93630","94041","93684.9","0.386","0.382","0.384"
"3","1992/93","646070","652550","648897","956570","964360","960132","94588","94707","94732.2","0.378","0.375","0.377"
"4","1993/94","359110","362070","360662","906560","909000","908707","143530","143180","143611","0.574","0.57","0.573"
"5","1994/95","394340","395090","395593","767360","767170","769117","116190","115760","116301","0.191","0.19","0.19"
"6","1995/96","474070","473120","475138","1524800","1517100","1526620","213000","211490","213115","0.346","0.347","0.346"
"7","1996/97","652790","647450","653825","1084700","1077600","1086140","83143","82828","83214","0.797","0.803","0.796"
"8","1997/98","350640","346010","351479","747860","741130","749454","35196","35062","35261.1","0.137","0.138","0.137"
"9","1998/99","315340","311640","316169","652660","646260","654159","34570","34292","34642.9","0.55","0.555","0.548"
"10","1999/00","197450","194090","198246","471920","465230","473346","46684","46073","46792.4","0.773","0.786","0.77"
"11","2000/01","121680","118470","122362","451930","444970","453525","87216","86319","87439.7","0.17","0.172","0.169"
"12","2001/02","250610","246340","251598","720530","713020","722233","126870","126130","127032","0.679","0.686","0.678"
"13","2002/03","269460","264590","270551","763250","753550","765101","106090","105110","106224","0.635","0.643","0.633"
"14","2003/04","220060","215090","221022","774220","767100","775923","74079","73955","74159.6","1.107","1.12","1.104"
"15","2004/05","133220","130190","133954","632780","626840","634685","67948","67638","68097.8","0.807","0.813","0.804"
"16","2005/06","169440","166450","170388","1317900","1299600","1321650","366140","361230","366988","0.629","0.636","0.628"
"17","2006/07","627440","612730","630224","1088000","1058400","1091760","73946","70839","74055.3","0.407","0.419","0.406"
"18","2007/08","557470","533910","560080","3116600","3029800","3125370","590530","576230","591892","0.386","0.397","0.385"
"19","2008/09","1280800","1230300","1285730","2868400","2794700","2875880","333050","329460","333486","0.54","0.557","0.539"
"20","2009/10","902390","867720","906147","1846800","1828600","1852850","259120","268470","259700","0.506","0.509","0.505"
"21","2010/11","938520","936800","942980","2954600","2926400","2963710","363670","358290","364438","0.397","0.398","0.395"
"22","2011/12","1162100","1147700","1167280","2719300","2690600","2728000","497560","492960","498579","0.499","0.504","0.498"
"23","2012/13","1106300","1088100","1111240","1855800","1824500","1862960","97047","95115","97325.9","0.298","0.303","0.297"
"24","2013/14","877460","857790","881823","3155500","3096700","3165820","289110","284180","289821","0.265","0.269","0.264"
"25","2014/15","1280800","1250400","1286070","2246000","2202700","2254280","242630","240020","243378","0.263","0.268","0.262"
"26","2015/16","1044600","1021300","1049280","1914100","1876300","1921390","107730","106000","108023","0.213","0.217","0.212"
"27","2016/17","850040","831090","853911","2717300","2663200","2726220","243040","238570","243660","0.265","0.264","0.264"
"28","2017/18","924370","907150","928190","2811400","2763000","2826010","272200","267990","273830","0.224","0.216","0.223"
"29","2018/19","1323200","1307200","1331900","1842500","1811000","1855990","79600","75099","80726.6","0.205","0.21","0.203"
"30","2019/20","858050","832960","866506","1346200","1305400","1352630","58944","56309","58187.9","0.307","0.326","0.306"
"31","2020/21","492050","430060","511108","2011100","1782600","2000590","229910","257750","220797","0.331","0.183","0.326"
