"","A̱os","$F/F_{RMS_{sept}}$","$F/F_{RMS_{marzo}}$","$F/F_{RMS_{julio}}$","$BD/BD_{RMS_{sept}}$","$BD/BD_{RMS_{marzo}}$","$BD/BD_{RMS_{julio}}$"
"1","1990/91","0.699","0.693","0.696","2.452","2.534","2.457"
"2","1991/92","1.289","1.279","1.283","1.644","1.696","1.647"
"3","1992/93","1.265","1.256","1.259","0.789","0.815","0.791"
"4","1993/94","1.92","1.911","1.913","0.439","0.452","0.44"
"5","1994/95","0.637","0.637","0.635","0.482","0.493","0.482"
"6","1995/96","1.157","1.161","1.155","0.579","0.591","0.579"
"7","1996/97","2.665","2.689","2.658","0.798","0.808","0.797"
"8","1997/98","0.459","0.464","0.458","0.428","0.432","0.429"
"9","1998/99","1.837","1.859","1.831","0.385","0.389","0.385"
"10","1999/00","2.586","2.632","2.573","0.241","0.242","0.242"
"11","2000/01","0.568","0.576","0.566","0.149","0.148","0.149"
"12","2001/02","2.272","2.299","2.263","0.306","0.308","0.307"
"13","2002/03","2.124","2.155","2.116","0.329","0.33","0.33"
"14","2003/04","3.702","3.751","3.687","0.269","0.269","0.269"
"15","2004/05","2.697","2.724","2.685","0.163","0.163","0.163"
"16","2005/06","2.104","2.131","2.096","0.207","0.208","0.208"
"17","2006/07","1.362","1.405","1.355","0.767","0.765","0.768"
"18","2007/08","1.291","1.331","1.286","0.681","0.667","0.683"
"19","2008/09","1.807","1.865","1.799","1.565","1.536","1.568"
"20","2009/10","1.693","1.707","1.685","1.103","1.083","1.105"
"21","2010/11","1.327","1.335","1.321","1.147","1.17","1.15"
"22","2011/12","1.669","1.688","1.662","1.42","1.433","1.423"
"23","2012/13","0.998","1.016","0.992","1.352","1.358","1.355"
"24","2013/14","0.885","0.901","0.881","1.072","1.071","1.075"
"25","2014/15","0.88","0.898","0.875","1.565","1.561","1.568"
"26","2015/16","0.711","0.726","0.707","1.276","1.275","1.279"
"27","2016/17","0.887","0.886","0.883","1.039","1.038","1.041"
"28","2017/18","0.751","0.725","0.746","1.13","1.133","1.132"
"29","2018/19","0.685","0.705","0.679","1.617","1.632","1.624"
"30","2019/20","1.028","1.091","1.021","1.048","1.04","1.056"
"31","2020/21","1.108","0.613","1.088","0.601","0.537","0.623"
